ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
aluminiu	aluminium	alluminio	aluminio	alumínio	alūmen
alveolă	alvéole	alveolo	alveolo	alvéolo	alveolum
amar	amer	amaro	amargo	amargo	amārum
ambasadă	ambassade	ambasciata	embajada	embaixada	ambactum
ambiant	ambiance	ambiente	ambiente	ambiente	ambientem
ambidextru	ambidextre	ambidestro	ambidextro	ambidestro	ambidextrum
ambiguu	ambigu	ambiguo	ambiguo	ambíguo	ambiguum
ambiție	ambition	ambizione	ambición	ambição	ambitiōnem
ambițios	ambitieux	ambizioso	ambicioso	ambicioso	ambitiōsum
ambițiune	ambition	ambizione	ambición	ambição	ambitiōnem
amenința	menacer	minacciare	amenazar	ameaçar	ammināciāre
amfiteatru	amphithéâtre	anfiteatro	anfiteatro	anfiteatro	amphitheātrum
amforă	amphore	anfora	ánfora	ânfora	amphoram
amic	ami	amico	amigo	amigo	amīcum
amor	amour	amore	amor	amor	amōrem
amplificator	amplificateur	amplificatore	amplificador	amplificador	amplificātorem
amputa	amputer	amputare	amputar	amputar	amputāre
amulet	amulette	amuleto	amuleto	amuleto	amulētum
an	ain	anno	año	anno	annum
anaforă	anaphore	anafora	anáfora	anáfora	anaphorā
analog	analogue	analogo	análogo	análogo	analogum
analogie	analogie	analogia	analogía	analogia	analogiam
anapest	anapeste	anapesto	anapesto	anapesto	anapaestum
anatemă	anathème	anátema	anatema	anátema	anathema
anatomie	anatomie	anatomia	anatomía	anatomia	anatomiam
ancoră	ancre	ancora	ancla	âncora	ancoram
anexiune	annexion	annessione	anexión	anexação	annexiōnem
anghilă	anguille	anguilla	anguila	enguia	anguillam
anglican	anglican	anglicano	anglicano	anglicano	anglicānum
anima	animer	animare	animar	animar	animāre
animalitate	animalité	animalità	animalidad	animalidade	animālitātem
animație	animation	animazione	animación	animação	animātiōnem
animațiune	animation	animazione	animación	animação	animātiōnem
animozitate	animosité	animosità	animosidad	animosidade	animōsitātem
aniversar	anniversaire	anniversario	aniversario	aniversário	anniversārium
anomalie	anomalie	anomalia	anomalía	anomalia	anōmaliam
antecedent	antécédent	antecedente	antecedente	antecedente	antecēdentem
anterior	antérieur	anteriore	anterior	anterior	anteriōrem
antic	antique	antico	antiguo	antigo	antīquum
anticar	antichar	antiquario	anticuario	antiquário	antīquārium
antichitate	antiquité	antichità	antigüedad	antiguidade	antīquitātem
anticipație	anticipation	anticipazione	anticipación	antecipação	anticipātiōnem
anticipațiune	anticipation	anticipazione	anticipación	antecipação	anticipātiōnem
antidot	antidote	antidoto	antídoto	antídoto	antidotum
antimoniu	antimoine	antimoniu	antimonio	antimônio	antimonium
antinomie	antinomie	antinomia	antinomia	antinomia	antinomiam
antipatie	antipathie	antipatia	antipatía	antipatia	antipathīam
antipod	antipode	antipode	antípoda	antípoda	antipodes
rabie	rage	rabbia	rabia	raiva	rabiem
anuală	annuel	annuale	anual	anual	annuālem
aparență	apparence	apparenza	apariencia	aparência	appārentiam
apatie	apathie	apatia	apatía	apatia	apathīam
apeduct	aqueduc	acquedotto	acueducto	aqueduto	aquaeductum
apendice	appendice	appendice	apéndice	apêndice	appendicem
apendicular	appendiculaire	appendicolare	apendicular	apendicular	appendiculam
aperitiv	apéritif	aperitivo	aperitivo	aperitivo	aperitīvum
apertură	aperture	apertura	abertura	abertura	apertūram
apetit	appétit	appetito	apetito	apetite	appetītum
apicultoare	apiculteur	apicultore	apicultor	apicultor	apiscultōrem
albină	abeille	ape	abeja	abelha	apem
aplauda	applaudir	applaudire	aplaudir	aplaudir	applaudēre
aplica	appliquer	applicare	aplicar	aplicar	applicāre
aplicație	application	applicazione	aplicación	aplicação	applicātiōnem
apocopă	apocope	apocope	apócope	apócope	apocopam
apolog	apologue	apologo	apólogo	apólogo	apologum
apologetică	apologétique	apologetica	apologética	apologética	apologēticum
apoplectic	apoplectique	apoplettico	apoplético	apoplético	apoplēcticum
apoplexie	apoplectic	apoplessia	apoplejía	apoplexia	apoplexiam
apos	aqueux	acquoso	aguoso	aguoso	aquōsum
apostat	apostat	apostata	apóstata	apóstata	apostatam
apostazie	apostasie	apostasia	apostasía	apostasia	apostasiam
apostolic	apostolique	apostolico	apostólico	apostólico	apostolicum
apostrof	apostrophe	apostrofo	apóstrofe	apóstrofo	apostrophum
apostrof	apostrophe	apostrofo	apóstrofe	apóstrofo	apostrophum
apoteoză	apothéose	apoteosi	apoteosis	apoteose	apotheōsem
apoziție	apposition	apposizione	aposición	aposição	appositiōnem
apozițiune	apposition	apposizione	aposición	aposição	appositiōnem
aprecia	apprécier	apprezzare	apreciar	apreciar	appretiāre
aprinde	apprendre	apprendere	aprender	aprender	apprendēre
aproba	approuver	approbare	aprobar	aprovar	approbāre
apropria	approprier	appropriare	apropiar	apropriar	apprōpriāre
ara	arer	arare	ara	arar	arāre
aramă	airain	rame	alambre	arame	aerāmen
arbitra	arbitrer	arbitrare	arbitrar	arbitrar	arbitrari
arbitrar	arbitraire	arbitrario	arbitrario	arbitrário	arbitrārium
arbitru	arbitre	arbitro	árbitro	árbitro	arbitrum
arbore	arbre	albero	árbol	arvore	arborem
arborescent	arborescent	arborescente	arborescente	arborescente	arborēscentem
arbust	arbuste	arbusto	arbusto	arbusto	arbustum
arc	arc	arco	arco	arco	arcum
arcosolium	arcosolium	arcosolio	arcosolio	arcossólio	arcosolium
arctic	arctique	artico	ártico	ártico	arcticum
ardere	ardoir	ardere	arder	arder	ārdēre
ardoare	ardeur	ardore	ardor	ardor	ardōrem
areolă	aréole	areola	areola	aréola	āreolam
argilos	argileux	argilloso	arcilloso	argiloso	argillōsum
argument	argument	argomento	argumento	argumento	argūmentum
argumentație	argumentation	argomentazione	argumentación	argumentação	argūmentātiōnem
arhitect	architecte	architetto	arquitecto	arquiteto	architectum
arhitectură	architecture	architettura	arquitectura	arquitetura	architectūram
arhivă	archive	archivio	archivo	arquivo	archīvum
arhivoltă	archivolte	archivolto	arquivoltas	arquivoltas	arcivoltam
arie	aire	aia	area	eira	āream
arici	hérisson	riccio	erizo	ouriço	ēricium
arid	aride	arido	árido	árido	āridum
arină	arène	rena	arena	areia	arēnam
aritmetică	arithmetique	aritmetica	aritmética	aritmética	arithmēticam
armă	arme	arma	arma	arma	arma
armătură	armature	armatura	armadura	armadura	armātūram
armonie	harmonie	armonia	armonía	harmonia	harmoniam
armonic	harmonique	armonico	armónico	harmônico	harmonicum
arogant	arrogant	arrogante	arrogante	arrogante	arrogantem
aroganță	arrogance	arroganza	arrogancia	arrogância	arrogantiam
arsenic	arsenic	arsenico	arsénico	arsênico	arsenicum
artă	art	arte	arte	arte	artem
arteră	artère	arteria	arteria	artéria	artēriam
articol	article	articolo	artículo	artigo	articulum
artificial	artificiel	artificiale	artificial	artificial	artificiālem
artificiu	artifice	artificio	artificio	artifício	artificium
artilerie	artillerie	artiglieria	artillería	artilharia	apticulāre
artrită	arthrite	artrite	artritis	artrite	arthrītis
artritic	arthritique	artritico	artrítico	artrítico	arthrīticum
așa	ainsi	cosí	así	assim	eccumsīc
ascendent	ascendant	ascendente	ascendente	ascendente	ascendentem
avea	avoir	avere	haber	haver	habēre
asculta	ausculter	ascoltare	escuchar	escutar	auscultāre
ascuți	aiguiser	aguzzare	aguzar	agusar	acūtiāre
asesor	assesseur	assessore	asesor	assessor	assessorem
asfalt	asphalte	asfalto	asfalto	asfalto	asphaltum
asiduitate	assiduité	assiduità	asiduidad	assiduidade	assiduitātem
asin	âne	asina	asna	asna	asinum
aspira	aspirer	aspirare	aspirar	aspirar	adspīrāre
aspru	âpre	aspro	áspero	áspero	asperum
astmă	asthme	asma	asma	asma	asthma
astmatic	asthmatique	asmatico	asmático	asmático	asthmaticum
astragal	astragale	astragalo	astrágalo	astrágalo	astragalum
astral	astral	astrale	astral	astral	astrālem
astrolog	astrologue	astrologo	astrólogo	astrólogo	astrologum
astrologie	astrologie	astrologia	astrología	astrologia	astrologiam
astronom	astronome	astronomo	astrónomo	astrónomo	astronomum
astronomic	astronomique	astronomico	astronómico	astronômico	astronomicum
astronomie	astronomie	astronomia	astronomía	astronomia	astronomiam
atare	tel	tale	tal	tal	tālem
atavism	atavisme	atavismo	atavismo	atavismo	atavismum
ateu	athée	ateo	ateo	ateu	atheon
atenție	attention	attenzione	atención	atenção	attentiōnem
atenua	atténuer	attenuare	atenuar	atenuar	attenuāre
aticism	atticisme	atticismo	aticismo	aticismo	atticismum
atlet	athlète	atleta	atleta	atleta	āthlētam
atom	atome	atomo	átomo	átomo	atomum
omnipotență	omnipotence	onnipotenza	omnipotencia	onipotência	omnipotentiam
atracție	attraction	attrazione	atracción	atração	attractiōnem
atracțiune	attraction	attrazione	atracción	atração	attractiōnem
atribut	attribut	attributo	atributo	atributo	attribūtum
atriu	atrium	atrio	atrio	átrio	ātrium
atroce	atroce	atroce	atroz	atroz	atrōcem
atrocitate	atrocité	atrocità	atrocidad	atrocidade	atrōcitātem
atrofie	atrophie	atrofia	atrofia	atrofia	ātrophīam
auzi	ouir	udire	oir	ouvir	audīre
audibil	audible	udibile	audible	audível	audībilem
augmenta	augmenter	aumentare	aumentar	aumentar	augmentāre
aur	or	oro	oro	ouro	aurum
auricular	auriculaire	auricolare	auricular	auricular	auriculārem
aurifer	aurifère	aurifero	aurífero	aurífero	auriferum
auster	austere	austero	austero	austero	austērum
austeritate	austérité	austerité	austeridad	austeridade	austēritātem
austral	austral	australe	austral	austral	austrālem
autentic	authentique	autentico	auténtico	autêntico	authenticum
autoare	auteur	autore	autor	autor	auctōrem
autograf	autographe	autografo	autógrafo	autógrafo	autographum
avariție	avarice	avarizia	avaricia	avareza	avāritiam
aventură	aventure	avventura	aventura	aventura	adventūram
avid	avide	avido	ávido	ávido	avidum
avocat	avocat	avvocato	abogado	advogado	advocātum
avort	avortement	aborto	aborto	aborto	abortum
avulsiune	avulsion	avulsione	avulsión	avulsão	āvulsiōnem
axilă	axile	ascella	axila	axila	axillam
axiomă	axiome	assioma	axioma	axioma	axiōma
bacantă	bacchante	baccante	bacante	bacante	bacchantem
bacil	bacille	bacillo	bacilo	bacilo	bacillum
bale	bave	bava	baba	baba	babam
balistă	baliste	ballista	balista	balista	ballistam
balnear	balnéaire	balneare	balneario	balneário	balneārem
balneoterapie	balnéotherapie	balneoterapia	balneoterapia	balneoterapia	balneotherapiam
balsam	baume	balsamo	bálsamo	bálsamo	balsamum
barbă	barbe	barba	barba	barba	barbam
barbar	barbare	barbaro	bárbaro	bárbaro	barbarum
barbarie	babarie	barbarie	barbarie	barbárie	barbariam
bășică	vessie	vescica	vejiga	bexiga	vēsīcam
bate	battre	battere	batir	bater	battuēre
bătaie	bataille	battaglia	batalla	batalha	battuāliam
bea	boire	bere	beber	beber	bibēre
beatifica	béatifier	beatificare	beatificar	beatificar	beātificāre
belicos	belliqueux	bellicoso	belicoso	belicoso	bellicōsum
beligerant	belligérant	belligerante	beligerante	beligerante	belligerantem
beneficiar	bénéficiaire	beneficiario	beneficiario	beneficiário	beneficiārium
bibliotecă	bibliothèque	biblioteca	biblioteca	biblioteca	bibliothēcam
biceps	biceps	bicipite	bíceps	bíceps	biceps
bienal	biennal	biennale	bienal	bienal	biennālem
bigam	bigame	bigamo	bígamo	bígamo	bigamum
bilingv	bilingue	bilingue	bilingüe	bilíngüe	bilinguem
bilios	bilieux	bilioso	bilioso	bilioso	bīliōsum
bine	bien	bene	bien	bem	bene
binefăcător	bienfaiteur	benefattore	benefactor	benfeitor	benefactōrem
bipartiție	bipartition	bipartizione	bipartición	bipartição	bipartitiōnem
bitum	bitume	bitume	betún	betume	bitūmen
bituminos	bitumineux	bituminoso	bituminoso	betuminoso	bitūminōsum
bizantin	byzantin	bizantino	bizantino	bizantino	byzantīnum
bizon	bison	bisonte	bisonte	bisão	bisōntem
blasfemia	blasphème	blasfemia	blasfemia	blasfêmia	blasphēmiam
bou	boeuf	bove	buey	boi	bovem
borax	borax	borace	bórax	bórax	boracem
boreal	boréal	boreale	boreal	boreal	boreālem
boteza	baptiser	battezzare	baptizar	batizar	baptīzāre
bovin	bovin	bovino	bovino	bovino	bovīnum
brahial	brachial	brachiale	braquial	braquial	bracchiālem
braț	bras	braccio	brazo	braço	brachium
brut	brut	brutto	bruto	bruto	brūtum
brutal	brutal	brutale	brutal	brutal	brūtālem
bucă	bouche	bocca	boca	boca	buccam
bucolic	bucolique	bucolico	bucólico	bucólico	būcolicum
buf	bouffon	buffone	bufón	bufón	būfōnem
bulb	bulbe	bulbo	bulbo	bulbo	bulbum
bun	bon	buono	bueno	bom	bonum
bunătate	bonté	bontá	bondad	bondade	bonitātem
buric	nombril	ombelico	ombligo	umbigo	umbilīcum
busolă	boussole	bussola	brújula	bússola	buxulam
bust	buste	busto	busto	busto	būstum
cabalină	chevalin	cavallino	caballiño	cavalinho	caballīnum
cal	cheval	cavallo	caballo	cavalo	caballum
căca	chier	cacare	cagar	cagar	cacāre
cădea	choir	cadere	caer	cair	cadēre
cadrilater	quadrilatère	quadrilatero	cuadrilátero	quadrilátero	quadrilāterum
caduceu	caducée	caducéo	caduceo	caduceu	cādūceum
călare	chevalier	cavagliere	caballero	cavalleiro	caballārem
călca	calquer	calcare	calcar	calcar	calcāre
calcula	calculer	calcolare	calcular	calcular	calculāre
cald	chaud	caldo	caldo	caldo	calidum
căldare	chaudière	caldaia	caldera	caldeira	caldāriam
calendar	calendaire	calendario	calendario	calendário	calendārium
calomnia	calomnier	calunniare	calumniar	calúniar	calumniārī
calorific	calorifique	calorifico	calorífico	calorífico	calōrificum
calos	calleux	calloso	calloso	caloso	callōsum
calviție	calvitie	calvizie	calvicie	calvície	calvitiem
cămașă	chemise	camicia	camisa	camisa	camisiam
camfor	camphre	canfora	alcanfor	cânfora	camphoram
cămilă	chameau	cammello	camello	camelo	camēlum
câmp	champ	campo	campo	campo	campum
campană	campane	campana	campaña	campanha	campanam
canal	canal	canale	canal	canal	canālem
candidat	candidat	candidato	candidato	candidato	candidātum
cangrenă	gangrène	cancrena	gangrena	gangrena	gangraenam
canonic	canonique	canonico	canónico	canônico	canonicum
canoniza	canoniser	canonizzare	canonizar	canonizar	canōnizāre
cantabil	chantable	cantabile	cantabile	cantável	cantābilem
cantilenă	cantilène	cantilena	cantilena	cantilena	cantilēnam
cantitate	quantité	quantità	cantidad	quantidade	quantitātem
canulă	canule	cannula	cánula	cânula	cannulam
cap	chef	capo	cabeza	cabo	caput
capă	cape	cappa	capa	capa	cappam
căpăstru	chevêtre	capestro	cabestro	cabresto	capistrum
capilar	capillaire	capillare	capilar	capilar	capillārem
capital	capital	capitale	capital	capital	capitālem
capră	chèvre	capra	cabra	cabra	capram
căprar	chevrier	capraio	cabrero	cabreiro	caprārium
căprăreață	chèvrerie	caprareccia	cabreriza	cabreriza	caprariciam
capsulă	capsule	capsula	cápsula	cápsula	capsulam
car	car	carro	carro	carro	carrum
căra	charrier	carreggiare	acarrear	carrear	carrāre
carat	carat	carato	quilate	quilate	quarātum
cărbunar	charbonnier	carbonaio	carbonero	carvoeiro	carbōnārium
cărbune	charbon	carbone	carbon	carvão	carbōnem
cardinal	cardinal	cardinale	cardinal	cardeal	cardinālem
care	quel	quale	cual	qual	quālem
carie	carie	carie	caries	cárie	cariem
caritate	charité	carità	caridad	caridade	cāritātem
carnal	charnel	carnale	carnal	carnal	carnālem
carne	chair	carne	carne	carne	carnem
carnivor	carnivore	carnivoro	carnívoro	carnívoro	carnivorum
carpen	charme	carpino	carpe	carpino	carpinum
carte	carte	carta	libro	carta	chartam
casă	chez	casa	casa	casa	casam
capsă	casse	cassa	caja	caixa	capsam
cast	chaste	casto	casto	casto	castum
castelan	châtelain	castellano	castellano	castelão	castellānum
castel	château	castello	castillo	castelo	castellum
castitate	chasteté	castità	castidad	castidade	castitātem
castor	castor	castoro	castor	castor	castorem
castra	castrer	castrare	castrar	castrar	castrāre
acăța	chasser	cacciare	cazar	caçar	captiāre
catalog	catalogue	catalogo	catálogo	catálogo	catalogum
catar	catarrhe	catarro	catarro	catarro	catarrhum
catastrofă	catastrophe	catastrofe	catástrofe	catástrofe	catastropham
categorie	catégorie	categoria	categoría	categoria	catēgoriam
catenă	chaîne	catena	cadena	cadeia	catēnam
catetă	cathète	cateto	cateto	cateto	cathetum
cateter	cathéter	catetere	catéter	cateter	cathetēr
catolic	catholique	cattolico	católico	católico	catholicum
caudal	caudal	caudale	caudal	caudal	caudalem
caustic	caustique	caustico	cáustico	cáustico	causticum
cauză	cause	causa	causa	causa	causam
cauzal	causal	causale	causal	causal	cāusālem
cauza	causer	causare	causar	causar	causārī
cavernă	caverne	caverna	caverna	caverna	cavernam
cavernos	caverneux	cavernoso	cavernoso	cavernoso	cavernōsum
cavitate	cavité	cavità	cavidad	cavidade	cavitātem
cazeină	caseus	caseina	caseína	caseína	cāseum
cazual	casuel	casuale	casual	casual	cāsuālem
ceară	cire	cera	cera	cera	cēram
celar	cellier	cellaio	cillero	celeiro	cellārium
celeritate	célérité	celerità	celeridad	celeridade	celeritātem
celest	céleste	celeste	celeste	celeste	caelestem
celibat	célibat	celibato	celibato	celibato	caelibātū
cenotaf	cénotaphe	cenotafio	cenotafio	cenotáfio	cenotaphium
cens	cens	censo	censo	censo	cēnsum
centaur	centaure	centauro	centauro	centauro	centaurum
central	central	centrale	central	central	centrālem
centru	centre	centro	centro	centro	centrum
centurion	centurion	centurione	centurión	centurião	centuriōnem
cenușă	cendre	cinigia	ceniza	cinza	cinerem
cenzură	censure	censura	censura	censura	censūram
cep	cep	ceppo	cepo	cepo	cippum
cer	ciel	cielo	cielo	céu	caelum
cerb	cerf	cervo	ciervo	cervo	cervum
cercel	cerceau	cirro	cercillo	cercilho	circellum
cereală	céréale	cereale	cereal	cereal	cereālem
ceremonie	cérémonie	cerimonia	ceremonia	cerimônia	caerimōniam
cere	quérir	chiedere	querer	querer	quaerēre
certifica	certifier	certificare	certificar	certificar	certificāre
cervical	cervical	cervicale	cervical	cervical	cervīcal
cervix	cérvix	cervice	cerviz	cerviz	cervīcem
cetate	cité	città	ciudad	cidade	cīvitātem
cezură	césure	cesura	cesura	cesura	caesūram
chear	clair	chiaro	claro	claro	clārum
cheie	clef	chiave	llave	chave	clāvim
chema	clamer	chiamare	llamar	chamar	clāmāre
cheag	quai	caglio	cuajo	coalho	clāgorium
chirurgie	chirurgie	chirurgia	cirugía	cirurgia	chīrurgiam
cicatrice	cicatrice	cicatrice	cicatriz	cicatriz	cicātrīcem
cicerone	cicérone	cicerone	cicerone	cicerone	cicerōnem
ciclic	cyclique	ciclico	cíclico	cíclico	cyclicum
ciclu	cycle	ciclo	ciclo	ciclo	cyclum
cilindru	cylindre	cilindro	cilindro	cilindro	cylindrum
cimitir	cimetière	cimitero	cementerio	cemitério	coemētērium
cinci	cinq	cinque	cinco	cinco	quīnque
cincinal	quinquennal	quinquennale	quinquenal	quinquenal	quinquennālem
cînd	quand	quando	cuando	quando	quandō
cină	cène	cena	cena	ceia	cēnam
cânepă	chanvre	canapa	cáñamo	cânhamo	cannabem
cinerar	cinéraire	cinerario	cinerario	cinerário	cinerārium
cinge	ceindre	cingere	ceñir	cingir	cingēre
chingă	sangle	cingolo	cíngulo	cíngulo	cingulum
cinic	cynique	cinico	cínico	cínico	cynicum
cinism	cynisme	cinismo	cinismo	cinismo	cynismum
circ	cirque	circo	circo	circo	circum
circuit	circuit	circuito	circuito	circuito	circuitum
circumcide	circoncire	circoncidere	circuncidar	circuncidar	circumcīdēre
circumferență	circonférence	circonferenza	circunferencia	circunferência	circumferentiam
circumscrie	circonscrire	circoscrivere	circunscribir	circunscrever	circumscrībēre
circumspect	circonspect	circospetto	circunspecto	circunspecto	circumspectum
circumspecție	circonspection	circospezione	circunspección	circunspecção	circumspectiōnem
circumspecțiune	circonspection	circospezione	circunspección	circunspecção	circumspectiōnem
circumstanță	circonstance	circostanza	circunstancia	circunstância	circumstantiam
cireașă	cerise	ciliegia	cereza	cereja	cerasum
cisalpin	cisalpin	cisalpino	cisalpino	cisalpino	cisalpīnum
cistă	ciste	cista	cista	cista	cistam
cita	citer	citare	citar	citar	citāre
citrin	citrine	citrino	citrino	citrina	citrīnum
civil	civil	civile	civil	civil	cīvīlem
civilitate	civilité	civiltà	civilidad	civilidade	cīvīlitātem
clandestin	clandestin	clandestino	clandestino	clandestino	clandestīnum
clasă	classe	classe	clase	classe	classem
clasic	classique	classico	clásico	clássico	classicum
claustr	cloître	chiostro	claustro	claustro	claustrum
claustra	claustrer	chiostrare	claustrar	claustrar	claustrāre
